element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support
Cr 1	5272.007	527.2007	-0.42	3.449	27818.04746	3.0	5.8	46780.155	4.0	9.0	1.93	1.63	AO	295000000.0	8.47	-5.22	757.238	-7.254	757.238	1.0	0.38	25.5	d	f	F	0	1	24.0	24.0	24.0	Melendez2014	T	T	T	T	T	T
Cr 1	5296.691	529.6691	-1.36	0.983	7928.425819999999	2.0	3.323	26801.803	1.0	3.0	1.5	2.51	AO	66100000.0	7.82	-5.92	329.263	-7.621	329.263	1.0	0.79	93.57	s	p	F	0	1	24.0	24.0	24.0	Melendez2014	T	T	T	F	T	T
Cr 1	5300.744	530.0744	-2.13	0.982	7920.36028	2.0	3.321	26785.672	3.0	7.0	1.5	1.67	AO	64600000.0	7.81	-5.91	329.263	-7.621	329.263	1.0	0.71	62.25	X	X	F	0	1	24.0	24.0	24.0	Melendez2014	T	T	T	F	T	T
Cr 1	5345.801	534.5801	-0.95	1.0036	8094.575944	3.0	3.322	26793.737	2.0	5.0	1.5	1.83	AO	66100000.0	7.82	-5.92	329.262	-7.62	329.262	1.0	0.82	122.84	X	X	F	0	1	24.0	24.0	24.0	Melendez2014	T	T	T	T	T	T
Cr 1	5348.312	534.8312	-1.21	1.0036	8094.575944	3.0	3.321	26785.672	3.0	7.0	1.5	1.67	AO	64600000.0	7.81	-5.91	329.262	-7.62	329.262	1.0	0.79	101.37	s	p	F	0	1	24.0	24.0	24.0	Melendez2014	T	T	T	T	T	T
Cr 1	6661.08	666.108	-0.19	4.1926	33815.583004	4.0	6.054	48828.803	4.0	9.0	1.5	1.46	AO	74100000.0	7.87	-4.98	886.24	-7.186	886.24	1.0	0.17	13.76	d	f	F	0	1	24.0	24.0	24.0	Melendez2014	T	T	T	T	T	T
Cr 2	4588.199	458.8199	-0.594	4.071	32834.81334	3.5	6.773	54627.93	2.5	6.0	1.23	1.38	AO	234000000.0	8.37	-6.57	232.218	-7.764	232.218	1.0	0.77	74.33	d	p	F	0	2	24.1	24.0	24.01	Melendez2014	T	T	T	T	T	T
Cr 2	4592.049	459.2049	-1.252	4.073	32850.94442	2.5	6.773	54627.93	2.5	6.0	1.03	1.38	AO	100000.0	0.0	0.0	232.233	-7.767	232.233	1.0	0.66	48.65	d	p	F	0	2	24.1	24.0	24.01	Melendez2014	T	T	T	F	T	T
Cr 2	5237.328	523.7328	-1.087	4.073	32850.94442	4.5	6.44	51942.103	4.5	10.0	1.33	1.34	AO	234000000.0	8.37	-6.56	225.213	-7.776	225.213	1.0	0.56	43.96	d	p	F	0	2	24.1	24.0	24.01	Melendez2014	T	T	T	T	T	T
Cr 2	5246.767	524.6767	-2.436	3.714	29955.41556	0.5	6.076	49006.245	1.5	4.0	2.69	1.8	AO	209000000.0	8.32	-6.49	186.227	-7.862	186.227	1.0	0.25	15.05	s	p	F	0	2	24.1	24.0	24.01	Melendez2014	T	T	T	T	T	T
Cr 2	5308.41	530.841	-1.846	4.0712	32836.426448	3.5	6.406	51667.875	2.5	6.0	1.23	1.03	AO	234000000.0	8.37	-6.55	225.218	-7.777	225.218	1.0	0.28	17.36	d	p	F	0	2	24.1	24.0	24.01	Melendez2014	T	T	T	T	T	T
Cr 2	5502.067	550.2067	-2.049	4.168	33617.17072	4.5	6.421	51788.858	3.5	8.0	1.19	1.25	AO	234000000.0	8.37	-6.49	195.248	-7.845	195.248	1.0	0.22	13.4	s	p	F	0	2	24.1	24.0	24.01	Melendez2014	T	T	T	T	T	T
Cu 1	5105.541	510.5541	-1.516	1.39	11211.1006	2.5	3.817	30786.181	1.5	4.0	1.23	1.33	GA	158000000.0	8.2	-6.07	-7.79	-7.79	-7.79	1.0	0.78	73.6	s	p	F	0	1	29.0	29.0	29.0	Melendez2014	T	T	T	T	T	T
Cu 1	5218.197	521.8197	0.476	3.816	30778.10064	1.5	6.192	49941.848	2.5	6.0	1.33	1.19	GA	251000000.0	8.4	-4.89	-7.5	-7.5	-7.5	1.0	0.67	56.71	p	d	F	0	1	29.0	29.0	29.0	Melendez2014	T	T	T	T	T	T
Cu 1	5220.066	522.0065999999999	-0.448	3.816	30778.10064	1.5	6.191	49933.783	1.5	4.0	1.33	0.82	GA	257000000.0	8.41	-4.89	-7.5	-7.5	-7.5	1.0	0.29	16.41	p	d	F	0	1	29.0	29.0	29.0	Melendez2014	T	T	T	T	T	T
Cu 1	7933.13	793.313	-0.368	3.79	30568.3966	0.5	5.348	43134.529	0.5	2.0	0.68	2.0	GA	209000000.0	8.32	-5.38	-7.56	-7.56	-7.56	1.0	0.3	27.93	p	s	F	0	1	29.0	29.0	29.0	Melendez2014	T	T	T	T	T	T
Eu 2	3819.67	381.967	0.51	0.0	0.0	4.0	3.245	26172.69	5.0	11.0	1.98	1.79	99	100000.0	0.0	0.0	0.0	0.0	2.5	1.0	0.64	23.25	s	p	F	151	2	63.1	63.151	63.01	Melendez2014	T	T	T	F	T	T
Eu 2	3907.11	390.711	0.17	0.207	1669.56678	3.0	3.379	27253.473	2.0	5.0	1.98	2.31	99	100000.0	0.0	0.0	0.0	0.0	2.5	1.0	0.34	11.09	s	p	F	153	2	63.1	63.153	63.01	Melendez2014	T	T	T	F	T	T
Eu 2	4129.72	412.972	0.22	0.0	0.0	4.0	3.001	24204.698	4.0	9.0	1.98	1.88	99	100000.0	0.0	0.0	0.0	0.0	2.5	1.0	0.49	17.93	s	p	F	153	2	63.1	63.153	63.01	Melendez2014	T	T	T	F	T	T
Eu 2	6645.1	664.51	0.12	1.379	11122.37966	6.0	3.245	26172.69	5.0	11.0	1.66	1.79	99	100000.0	0.0	0.0	0.0	0.0	2.5	1.0	0.02	1.27	d	p	F	153	2	63.1	63.153	63.01	Melendez2014	T	T	T	F	T	T
Fe 1	5044.211	504.4211	-2.058	2.8512	22996.467648	4.0	5.309	42819.973	5.0	11.0	1.49	1.59	AO	148000000.0	8.17	-5.41	713.238	-7.28	713.238	1.0	0.76	78.58	p	s	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5054.642	505.4642	-1.921	3.64	29358.5656	2.0	6.092	49135.294	3.0	7.0	1.16	1.21	AO	33900000.0	7.53	-6.1	353.313	-7.599	353.313	1.0	0.62	43.19	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5127.359	512.7359	-3.307	0.915	7379.9691	4.0	3.332	26874.393	5.0	11.0	1.35	1.4	AO	18600000.0	7.27	-6.15	243.246	-7.749	243.246	1.0	0.84	102.0	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	F	T	T
Fe 1	5127.679	512.7679	-6.125	0.052	419.40808	3.0	2.469	19913.828	2.0	5.0	1.5	2.01	GA	2880.0	3.46	-6.28	-7.82	-7.82	-7.82	1.0	0.31	16.56	X	X	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	F	T	T
Fe 1	5198.711	519.8711000000001	-2.135	2.223	17929.69542	1.0	4.607	37157.961	2.0	5.0	2.5	1.84	AO	170000000.0	8.23	-6.07	351.271	-7.594	351.271	1.0	0.8	100.64	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5225.525	522.5525	-4.789	0.1101	888.0159540000001	1.0	2.482	20018.68	1.0	3.0	1.5	3.0	AO	1660.0	3.22	-6.28	207.253	-7.82	207.253	1.0	0.78	71.62	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	F	T	T
Fe 1	5242.491	524.2491	-0.967	3.634	29310.17236	6.0	5.999	48385.198	5.0	11.0	1.01	1.02	AO	70800000.0	7.85	-6.12	361.248	-7.578	361.248	1.0	0.76	89.86	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5247.05	524.705	-4.946	0.0872	703.315088	2.0	2.45	19760.583	3.0	7.0	1.5	1.75	AO	4270.0	3.63	-6.28	206.253	-7.822	206.253	1.0	0.76	66.2	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	F	T	T
Fe 1	5250.208	525.0208	-4.938	0.1212	977.543448	0.0	2.482	20018.68	1.0	3.0	0.0	3.0	AO	1660.0	3.22	-6.28	207.253	-7.82	207.253	1.0	0.76	65.1	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	F	T	T
Fe 1	5295.312	529.5312	-1.49	4.415	35609.3591	3.0	6.756	54490.815	3.0	7.0	0.89	0.48	AO	209000000.0	8.32	-4.67	1014.281	-7.135	1014.281	1.0	0.34	22.75	p	d	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5322.041	532.2041	-2.8	2.279	18381.36566	2.0	4.608	37166.027	3.0	7.0	1.51	1.09	AO	120000000.0	8.08	-6.29	341.236	-7.6	341.236	1.0	0.72	64.97	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5373.709	537.3709	-0.77	4.473	36077.16042	3.0	6.78	54684.388	4.0	9.0	0.79	1.14	AO	138000000.0	8.14	-4.95	1044.282	-7.123	1044.282	1.0	0.64	62.54	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5379.574	537.9574	-1.514	3.694	29794.10476	4.0	5.999	48385.198	5.0	11.0	0.98	1.02	AO	70800000.0	7.85	-6.12	363.249	-7.575	363.249	1.0	0.67	60.62	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5386.334	538.6333999999999	-1.74	4.154	33504.25316	3.0	6.456	52071.152	2.0	5.0	1.49	1.81	AO	282000000.0	8.45	-4.47	930.278	-7.172	930.278	1.0	0.43	29.89	p	d	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5466.396	546.6396	-0.565	4.371	35254.475340000005	4.0	6.639	53547.147	3.0	7.0	1.1	1.35	AO	204000000.0	8.31	-4.58	865.278	-7.204	865.278	1.0	0.69	80.97	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5466.987	546.6987	-2.23	3.573	28818.17442	5.0	5.841	47110.843	4.0	9.0	1.0	0.88	GA	33100000.0	7.52	-5.82	-7.82	-7.82	-7.82	1.0	0.49	32.69	s	p	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5522.446	552.2446	-1.31	4.209	33947.85786	2.0	6.453	52046.955	2.0	5.0	1.49	1.57	AO	105000000.0	8.02	-5.57	744.215	-7.257	744.215	1.0	0.5	37.66	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5546.506	554.6506	-1.18	4.371	35254.475340000005	4.0	6.606	53280.984	5.0	11.0	1.1	1.22	AO	204000000.0	8.31	-5.06	825.278	-7.224	825.278	1.0	0.52	42.24	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5560.211	556.0211	-1.16	4.434	35762.60436	4.0	6.664	53748.785	3.0	7.0	1.1	1.26	AO	191000000.0	8.28	-4.24	895.278	-7.189	895.278	1.0	0.54	45.66	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	5577.02	557.702	-1.455	5.0331	40594.669374	4.0	7.256	58523.587	4.0	9.0	1.33	1.18	GA	759000000.0	8.88	-5.29	-7.39	-7.39	-7.39	1.0	0.16	10.02	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
