element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support
Cu 1	5218.197	521.8197	0.476	3.8160	30778.101	1.5	6.1920	49941.848	2.5	6.0	1.330	1.190	GA	2.51E+08	8.400	-4.890	-7.500	-7.500	-7.500	1.000	0.670	56.710	p	d	F	0	1	29.0	29.0	29.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ti 1	5219.700	521.9700	-2.292	0.0210	169.376	3.0	2.3960	19325.043	2.0	5.0	1.080	0.670	AO	6.61E+06	6.820	-6.110	255.243	-7.727	255.243	1.000	0.430	26.360	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Fe 1	5225.525	522.5525	-4.789	0.1101	888.016	1.0	2.4820	20018.680	1.0	3.0	1.500	3.000	AO	1.66E+03	3.220	-6.280	207.253	-7.820	207.253	1.000	0.780	71.620	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Fe 2	5234.625	523.4625	-2.180	3.2215	25983.137	3.5	5.5890	45078.325	2.5	6.0	0.980	1.070	AO	2.88E+08	8.460	-6.530	180.249	-7.880	180.249	1.000	0.750	85.480	s	p	F	0	2	26.1	26.0	26.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Cr 2	5237.328	523.7328	-1.087	4.0730	32850.944	4.5	6.4400	51942.103	4.5	10.0	1.330	1.340	AO	2.34E+08	8.370	-6.560	225.213	-7.776	225.213	1.000	0.560	43.960	d	p	F	0	2	24.1	24.0	24.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5242.491	524.2491	-0.967	3.6340	29310.172	6.0	5.9990	48385.198	5.0	11.0	1.010	1.020	AO	7.08E+07	7.850	-6.120	361.248	-7.578	361.248	1.000	0.760	89.860	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5247.050	524.7050	-4.946	0.0872	703.315	2.0	2.4500	19760.583	3.0	7.0	1.500	1.750	AO	4.27E+03	3.630	-6.280	206.253	-7.822	206.253	1.000	0.760	66.200	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Cr 1	5247.566	524.7566	-1.590	0.9600	7742.918	0.0	3.3230	26801.803	1.0	3.0	0.000	2.510	AO	6.61E+07	7.820	-5.920	329.263	-7.621	329.263	1.000	0.770	82.600	s	p	F	0	1	24.0	24.0	24.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Fe 1	5250.208	525.0208	-4.938	0.1212	977.543	0.0	2.4820	20018.680	1.0	3.0	0.000	3.000	AO	1.66E+03	3.220	-6.280	207.253	-7.820	207.253	1.000	0.760	65.100	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Ca 1	5260.387	526.0387	-1.719	2.5210	20333.226	1.0	4.8780	39343.724	2.0	5.0	0.500	1.500	AO	7.98E+07	7.902	-5.756	421.260	-7.512	421.260	1.000	0.460	33.600	s	p	F	0	1	20.0	20.0	20.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 2	5264.812	526.4812	-3.130	3.2304	26054.920	2.5	5.5850	45046.063	1.5	4.0	0.570	1.150	AO	3.63E+08	8.560	-6.530	186.300	-7.875	186.300	1.000	0.590	45.870	s	p	F	0	2	26.1	26.0	26.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Cr 1	5272.007	527.2007	-0.420	3.4490	27818.047	3.0	5.8000	46780.155	4.0	9.0	1.930	1.630	AO	2.95E+08	8.470	-5.220	757.238	-7.254	757.238	1.000	0.380	25.500	d	f	F	0	1	24.0	24.0	24.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5295.312	529.5312	-1.490	4.4150	35609.359	3.0	6.7560	54490.815	3.0	7.0	0.890	0.480	AO	2.09E+08	8.320	-4.670	1014.281	-7.135	1014.281	1.000	0.340	22.750	p	d	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Cr 1	5296.691	529.6691	-1.360	0.9830	7928.426	2.0	3.3230	26801.803	1.0	3.0	1.500	2.510	AO	6.61E+07	7.820	-5.920	329.263	-7.621	329.263	1.000	0.790	93.570	s	p	F	0	1	24.0	24.0	24.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Cr 1	5300.744	530.0744	-2.130	0.9820	7920.360	2.0	3.3210	26785.672	3.0	7.0	1.500	1.670	AO	6.46E+07	7.810	-5.910	329.263	-7.621	329.263	1.000	0.710	62.250	X	X	F	0	1	24.0	24.0	24.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Co 1	5342.695	534.2695	0.540	4.0210	32431.536	5.5	6.3410	51143.615	6.5	14.0	1.290	1.220	GA	2.45E+08	8.390	-4.590	-7.510	-7.510	-7.510	1.000	0.540	39.500	p	d	F	0	1	27.0	27.0	27.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
