element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support
Si 1	6721.848	672.1848	-1.120	5.8620	47280.195	1.0	7.7070	62161.148	2.0	5.0	1.000	0.870	GA	2.45E+07	7.390	-3.100	-7.020	-7.020	-7.020	1.000	0.170	22.990	p	d	F	0	1	14.0	14.0	14.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6726.667	672.6667	-1.030	4.6070	37157.943	2.0	6.4500	52022.759	1.0	3.0	1.840	2.430	GA	2.29E+08	8.360	-4.690	-7.520	-7.520	-7.520	1.000	0.440	41.170	p	d	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6733.151	673.3151	-1.470	4.6380	37407.975	1.0	6.4790	52256.660	0.0	1.0	2.500	0.000	AO	2.57E+08	8.410	-5.360	781.273	-7.247	781.273	1.000	0.250	20.770	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6750.152	675.0152	-2.621	2.4241	19551.676	1.0	4.2600	34359.217	1.0	3.0	1.500	1.500	AO	4.90E+06	6.690	-6.130	335.241	-7.609	335.241	1.000	0.610	73.530	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6752.707	675.2707	-1.204	4.6380	37407.975	1.0	6.4740	52216.332	1.0	3.0	2.500	1.420	AO	2.63E+08	8.420	-5.470	778.274	-7.249	778.274	1.000	0.400	37.250	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ni 1	6767.772	676.7772	-2.170	1.8260	14727.676	0.0	3.6580	29503.760	1.0	3.0	0.000	1.430	GA	1.29E+08	8.110	-6.120	-7.760	-7.760	-7.760	1.000	0.640	79.050	d	p	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ni 1	6772.315	677.2315	-0.990	3.6570	29495.680	1.0	5.4880	44263.705	2.0	5.0	1.430	1.090	AO	1.91E+08	8.280	-5.330	795.245	-7.234	795.245	1.000	0.490	50.240	p	s	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6806.845	680.6845	-3.110	2.7270	21994.728	4.0	4.5490	36690.160	4.0	9.0	1.050	1.250	AO	1.17E+08	8.070	-6.090	313.268	-7.643	313.268	1.000	0.370	29.620	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6810.263	681.0263	-0.986	4.6070	37157.943	2.0	6.4270	51837.251	3.0	7.0	1.840	1.660	AO	2.63E+08	8.420	-5.230	873.275	-7.199	873.275	1.000	0.470	51.250	p	d	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6839.830	683.9830	-3.350	2.5590	20639.717	4.0	4.3710	35254.493	4.0	9.0	1.240	1.100	AO	1.12E+08	8.050	-6.060	330.248	-7.617	330.248	1.000	0.340	26.620	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6843.656	684.3656	-0.860	4.5480	36682.076	4.0	6.3600	51296.860	3.0	7.0	1.250	1.350	AO	2.69E+08	8.430	-5.290	736.216	-7.262	736.216	1.000	0.500	56.730	p	s	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6858.150	685.8150	-0.930	4.6070	37157.943	3.0	6.4150	51740.465	2.0	5.0	1.090	1.130	AO	2.69E+08	8.430	-5.570	765.211	-7.245	765.211	1.000	0.490	53.780	p	s	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
