element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Fe 1	6027.050	602.7050	-1.090	4.0758	32873.528	4.0	6.1320	49457.916	5.0	11.0	1.260	1.160	GA	1.02E+08	8.010	-6.030	-7.780	-7.780	-7.780	1.000	0.620	63.740	d	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	602.7059	602.6859	602.7329		224623	224603	224650	0.444	0.423	602.6859	602.7329	224603	224650	602.7057	0.0055	-0.4433	1.000	9999.0000	0.0015	0.0130	6.4828	46244	0.443	0.438	0.0061	-4.99	61.5	0.0	0.0	0.000	0.000	0.0000	0.008	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6056.005	605.6005	-0.450	4.7330	38174.201	3.0	6.7800	54684.388	4.0	9.0	1.320	1.140	AO	2.09E+08	8.320	-4.950	1029.286	-7.130	1029.286	1.000	0.610	74.970	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	605.6011	605.5781	605.6241		227518	227495	227541	0.460	0.439	605.5781	605.6241	227495	227541	605.6010	0.0060	-0.4583	1.000	9999.0000	0.0015	0.0141	6.9875	42904	0.458	0.445	0.0069	-4.94	68.9	0.0	0.0	0.000	0.000	0.0000	0.012	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6079.009	607.9009	-1.100	4.6520	37520.892	2.0	6.6910	53966.555	2.0	5.0	0.690	1.420	AO	2.14E+08	8.330	-4.500	920.276	-7.177	920.276	1.000	0.450	39.830	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	607.9012	607.8812	607.9242		229818	229798	229841	0.325	0.304	607.8812	607.9242	229798	229841	607.9013	0.0054	-0.3236	1.000	9999.0000	0.0019	0.0128	6.3043	47553	0.324	0.316	0.0044	-5.14	44.0	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6082.711	608.2711	-3.573	2.2230	17929.695	1.0	4.2600	34359.217	1.0	3.0	2.500	1.500	AO	4.90E+06	6.690	-6.130	306.271	-7.654	306.271	1.000	0.460	34.010	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	608.2713	608.2573	608.2913		230188	230174	230208	0.269	0.248	608.2573	608.2913	230174	230208	608.2715	0.0050	-0.2686	1.000	9999.0000	0.0022	0.0117	5.7527	52114	0.269	0.267	0.0033	-5.26	33.4	0.0	0.0	0.000	0.000	0.0000	0.004	0.0000	0.0000	0	0.000	False	False	False
Ni 1	6086.282	608.6282	-0.510	4.2660	34407.594	1.0	6.3030	50837.124	2.0	5.0	0.510	0.750	AO	2.75E+08	8.440	-4.040	838.279	-7.218	838.279	1.000	0.470	41.110	p	d	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	608.6283	608.6023	608.6503		230545	230519	230567	0.297	0.276	608.6023	608.6503	230519	230567	608.6286	0.0056	-0.2968	1.000	9999.0000	0.0019	0.0133	6.5293	45915	0.297	0.294	0.0042	-5.16	41.9	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
V 1	6090.210	609.0210	-0.062	1.0800	8710.783	3.5	3.1160	25132.235	2.5	6.0	1.390	1.590	AO	4.57E+07	7.660	-6.060	331.239	-7.613	331.239	1.000	0.490	38.240	X	X	F	0	1	23.0	23.0	23.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	609.0213	608.9973	609.0393		230938	230914	230956	0.235	0.214	608.9973	609.0393	230914	230956	609.0214	0.0052	-0.2346	1.000	9999.0000	0.0023	0.0122	6.0256	49753	0.235	0.228	0.0031	-5.30	30.6	0.0	0.0	0.000	0.000	0.0000	0.005	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6093.644	609.3644	-1.300	4.6070	37157.943	3.0	6.6420	53571.343	2.0	5.0	1.090	1.400	AO	2.14E+08	8.330	-4.570	866.274	-7.203	866.274	1.000	0.310	24.070	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	609.3643	609.3413	609.3853		231281	231258	231302	0.220	0.200	609.3413	609.3853	231258	231302	609.3648	0.0054	-0.2197	1.000	9999.0000	0.0023	0.0127	6.2437	48016	0.220	0.217	0.0030	-5.31	29.7	0.0	0.0	0.000	0.000	0.0000	0.005	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6096.665	609.6665	-1.810	3.9841	32133.918	2.0	6.0170	48530.378	3.0	7.0	0.680	1.110	AO	5.62E+07	7.750	-5.290	963.250	-7.152	963.250	1.000	0.390	31.670	p	s	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	609.6674	609.6444	609.6894		231584	231561	231606	0.264	0.243	609.6444	609.6894	231561	231606	609.6670	0.0055	-0.2632	1.000	9999.0000	0.0021	0.0130	6.3898	46917	0.263	0.261	0.0036	-5.22	36.4	0.0	0.0	0.000	0.000	0.0000	0.005	0.0000	0.0000	0	0.000	False	False	False
Ni 1	6108.116	610.8116	-2.440	1.6760	13517.845	2.0	3.7060	29890.906	2.0	5.0	1.140	1.040	AO	6.46E+07	7.810	-6.120	274.288	-7.705	274.288	1.000	0.640	61.140	s	p	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	610.8124	610.7804	610.8364		232729	232697	232753	0.445	0.424	610.7804	610.8364	232697	232753	610.8121	0.0056	-0.4446	1.000	9999.0000	0.0014	0.0133	6.5105	46047	0.445	0.444	0.0063	-4.99	62.8	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
V 1	6119.528	611.9528	-0.320	1.0640	8581.735	2.5	3.0890	24914.465	1.5	4.0	1.350	1.710	AO	4.57E+07	7.660	-6.070	328.240	-7.618	328.240	1.000	0.360	25.800	s	p	F	0	1	23.0	23.0	23.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	611.9535	611.9365	611.9655		233870	233853	233882	0.161	0.140	611.9365	611.9655	233853	233882	611.9533	0.0051	-0.1609	1.000	9999.0000	0.0032	0.0120	5.8774	51007	0.161	0.160	0.0021	-5.47	20.5	0.0	0.0	0.000	0.000	0.0000	0.004	0.0000	0.0000	0	0.000	False	False	False
Si 1	6125.021	612.5021	-1.500	5.6140	45279.942	1.0	7.6370	61596.560	2.0	5.0	0.500	0.920	GA	8.13E+07	7.910	-5.560	-7.130	-7.130	-7.130	1.000	0.320	33.660	d	f	F	0	1	14.0	14.0	14.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	612.5026	612.4746	612.5276		234419	234391	234444	0.186	0.165	612.4746	612.5276	234391	234444	612.5024	0.0063	-0.1846	1.000	9999.0000	0.0026	0.0148	7.2466	41370	0.185	0.184	0.0029	-5.32	29.1	0.0	0.0	0.000	0.000	0.0000	0.005	0.0000	0.0000	0	0.000	False	False	False
Ti 1	6126.217	612.6217	-1.424	1.0660	8597.866	2.0	3.0900	24922.531	1.0	3.0	1.490	1.990	AO	8.32E+06	6.920	-6.100	254.263	-7.733	254.263	1.000	0.280	19.120	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	612.6226	612.6046	612.6406		234539	234521	234557	0.167	0.146	612.6046	612.6406	234521	234557	612.6222	0.0050	-0.1659	1.000	9999.0000	0.0026	0.0117	5.7362	52264	0.166	0.163	0.0021	-5.47	20.7	0.0	0.0	0.000	0.000	0.0000	0.003	0.0000	0.0000	0	0.000	False	False	False
Ni 1	6130.135	613.0135	-0.960	4.2660	34407.594	1.0	6.2880	50716.141	1.0	3.0	0.510	0.450	AO	2.82E+08	8.450	-6.000	825.281	-7.225	825.281	1.000	0.290	21.810	p	d	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	613.0136	612.9946	613.0296		234930	234911	234946	0.165	0.145	612.9946	613.0296	234911	234946	613.0140	0.0053	-0.1649	1.000	9999.0000	0.0031	0.0124	6.0797	49310	0.165	0.160	0.0022	-5.45	21.8	0.0	0.0	0.000	0.000	0.0000	0.004	0.0000	0.0000	0	0.000	False	False	False
Si 1	6145.015	614.5015	-1.410	5.6160	45296.073	2.0	7.6330	61564.297	3.0	7.0	1.170	0.930	GA	8.32E+07	7.920	-3.630	-7.130	-7.130	-7.130	1.000	0.370	45.210	d	f	F	0	1	14.0	14.0	14.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	614.5017	614.4787	614.5277		236418	236395	236444	0.235	0.214	614.4787	614.5277	236395	236444	614.5020	0.0063	-0.2342	1.000	9999.0000	0.0024	0.0148	7.2101	41579	0.234	0.229	0.0037	-5.22	36.8	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6151.618	615.1618	-3.299	2.1759	17549.808	3.0	4.1910	33802.695	2.0	5.0	1.670	1.500	AO	1.95E+08	8.290	-6.160	277.263	-7.696	277.263	1.000	0.570	49.490	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	615.1617	615.1347	615.1837		237078	237051	237100	0.362	0.341	615.1347	615.1837	237051	237100	615.1623	0.0053	-0.3624	1.000	9999.0000	0.0016	0.0124	6.0470	49577	0.362	0.361	0.0048	-5.11	47.9	0.0	0.0	0.000	0.000	0.0000	0.004	0.0000	0.0000	0	0.000	False	False	False
Na 1	6154.225	615.4225	-1.547	2.1023	16956.185	0.5	4.1160	33197.779	0.5	2.0	99.000	99.000	99	7.08E+07	7.850	-4.390	0.000	0.000	2.000	1.000	0.310	31.140	p	s	F	0	1	11.0	11.0	11.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T	615.4228	615.3998	615.4408		237339	237316	237357	0.233	0.213	615.3998	615.4408	237316	237357	615.4230	0.0061	-0.2328	1.000	9999.0000	0.0026	0.0144	7.0021	42815	0.233	0.227	0.0036	-5.24	35.6	0.0	0.0	0.000	0.000	0.0000	0.008	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6157.728	615.7728	-1.220	4.0760	32875.141	4.0	6.0890	49111.097	4.0	9.0	1.260	1.180	GA	7.76E+07	7.890	-6.030	-7.790	-7.790	-7.790	1.000	0.580	56.200	d	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	615.7738	615.7528	615.8008		237690	237669	237717	0.412	0.391	615.7528	615.8008	237669	237717	615.7734	0.0057	-0.4120	1.000	9999.0000	0.0016	0.0134	6.5203	45979	0.412	0.408	0.0059	-5.02	58.7	0.0	0.0	0.000	0.000	0.0000	0.009	0.0000	0.0000	0	0.000	False	False	False
Na 1	6160.747	616.0747	-1.246	2.1044	16973.122	1.5	4.1160	33197.779	0.5	2.0	99.000	99.000	99	7.08E+07	7.850	-4.390	0.000	0.000	2.000	1.000	0.430	48.360	p	s	F	0	1	11.0	11.0	11.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T	616.0748	616.0528	616.0988		237991	237969	238015	0.340	0.320	616.0528	616.0988	237969	238015	616.0752	0.0062	-0.3401	1.000	9999.0000	0.0020	0.0146	7.1105	42162	0.340	0.337	0.0053	-5.07	52.9	0.0	0.0	0.000	0.000	0.0000	0.004	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6165.360	616.5360	-1.460	4.1426	33412.306	3.0	6.1530	49627.292	4.0	9.0	1.070	0.910	GA	1.00E+08	8.000	-6.020	-7.780	-7.780	-7.780	1.000	0.510	43.490	d	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	616.5368	616.5118	616.5568		238453	238428	238473	0.316	0.295	616.5118	616.5568	238428	238473	616.5365	0.0054	-0.3162	1.000	9999.0000	0.0018	0.0126	6.1437	48797	0.316	0.316	0.0043	-5.16	42.5	0.0	0.0	0.000	0.000	0.0000	0.003	0.0000	0.0000	0	0.000	False	False	False
Ca 1	6166.439	616.6439	-1.142	2.5210	20333.226	1.0	4.5310	36544.980	0.0	1.0	0.500	0.000	AO	1.86E+07	7.269	-4.999	976.257	-7.146	976.257	1.000	0.580	72.120	s	p	F	0	1	20.0	20.0	20.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	616.6439	616.6189	616.6699		238560	238535	238586	0.447	0.426	616.6189	616.6699	238535	238586	616.6440	0.0060	-0.4465	1.000	9999.0000	0.0015	0.0141	6.8486	43775	0.446	0.442	0.0067	-4.96	66.9	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
Ca 1	6169.042	616.9042	-0.797	2.5230	20349.357	2.0	4.5320	36553.045	1.0	3.0	1.160	1.490	AO	1.98E+07	7.296	-4.997	976.257	-7.146	976.257	1.000	0.640	96.850	s	p	F	0	1	20.0	20.0	20.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	616.9039	616.8649	616.9299		238820	238781	238846	0.541	0.521	616.8649	616.9299	238781	238846	616.9042	0.0065	-0.5407	1.000	9999.0000	0.0012	0.0153	7.4307	40345	0.541	0.537	0.0088	-4.85	88.0	0.0	0.0	0.000	0.000	0.0000	0.017	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6173.335	617.3335	-2.880	2.2230	17929.695	1.0	4.2310	34125.317	0.0	1.0	2.500	0.000	AO	2.04E+08	8.310	-6.160	281.266	-7.690	281.266	1.000	0.650	67.250	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	617.3339	617.3109	617.3629		239250	239227	239279	0.467	0.446	617.3109	617.3629	239227	239279	617.3341	0.0055	-0.4662	1.000	9999.0000	0.0014	0.0131	6.3431	47262	0.466	0.460	0.0065	-4.98	64.8	0.0	0.0	0.000	0.000	0.0000	0.008	0.0000	0.0000	0	0.000	False	False	False
Ni 1	6176.811	617.6811	-0.260	4.0880	32971.928	4.0	6.0950	49159.491	5.0	11.0	1.220	1.200	AO	1.62E+08	8.210	-4.840	826.284	-7.225	826.284	1.000	0.590	65.680	p	d	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	617.6819	617.6529	617.7069		239598	239569	239623	0.406	0.385	617.6529	617.7069	239569	239623	617.6816	0.0060	-0.4047	1.000	9999.0000	0.0016	0.0142	6.8868	43531	0.405	0.402	0.0061	-5.00	61.1	0.0	0.0	0.000	0.000	0.0000	0.009	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6187.990	618.7990	-1.670	3.9430	31802.424	3.0	5.9460	47957.725	4.0	9.0	1.090	1.290	AO	5.62E+07	7.750	-5.380	903.244	-7.179	903.244	1.000	0.490	44.500	p	s	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	618.8000	618.7720	618.8210		240716	240688	240737	0.325	0.304	618.7720	618.8210	240688	240737	618.7995	0.0056	-0.3254	1.000	9999.0000	0.0018	0.0131	6.3627	47117	0.325	0.324	0.0045	-5.13	45.5	0.0	0.0	0.000	0.000	0.0000	0.006	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6200.313	620.0313	-2.437	2.6085	21038.961	2.0	4.6080	37166.027	3.0	7.0	0.660	1.090	AO	1.20E+08	8.080	-6.290	350.235	-7.589	350.235	1.000	0.650	71.090	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	620.0321	620.0061	620.0551		241948	241922	241971	0.488	0.467	620.0061	620.0551	241922	241971	620.0322	0.0058	-0.4874	1.000	9999.0000	0.0014	0.0136	6.5526	45751	0.487	0.482	0.0070	-4.95	70.3	0.0	0.0	0.000	0.000	0.0000	0.011	0.0000	0.0000	0	0.000	False	False	False
Ni 1	6204.604	620.4604	-1.140	4.0880	32971.928	4.0	6.0860	49086.901	4.0	9.0	1.220	1.330	AO	1.91E+08	8.280	-5.460	719.247	-7.278	719.247	1.000	0.310	23.700	p	s	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	620.4611	620.4451	620.4771		242377	242361	242393	0.161	0.140	620.4451	620.4771	242361	242393	620.4610	0.0054	-0.1608	1.000	9999.0000	0.0033	0.0126	6.1061	49098	0.161	0.154	0.0022	-5.46	21.6	0.0	0.0	0.000	0.000	0.0000	0.005	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6213.430	621.3430	-2.520	2.2227	17927.276	1.0	4.2180	34020.465	1.0	3.0	2.500	1.490	AO	2.04E+08	8.310	-6.160	280.265	-7.691	280.265	1.000	0.690	86.870	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	621.3442	621.3232	621.3682		243260	243239	243284	0.526	0.505	621.3232	621.3682	243239	243284	621.3438	0.0060	-0.5267	1.000	9999.0000	0.0014	0.0141	6.8060	44048	0.527	0.520	0.0079	-4.90	79.1	0.0	0.0	0.000	0.000	0.0000	0.008	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6219.281	621.9281	-2.433	2.1980	17728.057	2.0	4.1910	33802.695	2.0	5.0	1.820	1.500	AO	1.95E+08	8.290	-6.160	278.264	-7.694	278.264	1.000	0.700	90.770	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	621.9292	621.8952	621.9512		243845	243811	243867	0.548	0.527	621.8952	621.9512	243811	243867	621.9288	0.0062	-0.5479	1.000	9999.0000	0.0013	0.0145	6.9972	42845	0.548	0.547	0.0085	-4.87	84.7	0.0	0.0	0.000	0.000	0.0000	0.011	0.0000	0.0000	0	0.000	False	False	False
Ni 1	6223.984	622.3984	-0.980	4.1050	33109.042	3.0	6.0970	49175.622	4.0	9.0	1.190	1.050	AO	2.24E+08	8.350	-4.870	827.283	-7.224	827.283	1.000	0.380	30.420	p	d	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	622.3993	622.3793	622.4173		244315	244295	244333	0.194	0.174	622.3793	622.4173	244295	244333	622.3990	0.0056	-0.1945	1.000	9999.0000	0.0027	0.0132	6.3359	47317	0.194	0.190	0.0027	-5.36	27.2	0.0	0.0	0.000	0.000	0.0000	0.005	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6226.736	622.6736	-2.100	3.8830	31318.492	3.0	5.8740	47377.005	4.0	9.0	1.320	1.330	AO	6.76E+07	7.830	-5.270	845.244	-7.208	845.244	1.000	0.310	23.300	p	s	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	622.6743	622.6553	622.7003		244590	244571	244616	0.205	0.184	622.6553	622.7003	244571	244616	622.6740	0.0055	-0.2042	1.000	9999.0000	0.0023	0.0129	6.2007	48348	0.204	0.203	0.0028	-5.35	28.0	0.0	0.0	0.000	0.000	0.0000	0.005	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6240.646	624.0646	-3.233	2.2227	17927.276	1.0	4.2090	33947.875	2.0	5.0	2.500	1.490	AO	6.46E+06	6.810	-6.130	301.272	-7.661	301.272	1.000	0.570	50.860	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	624.0654	624.0474	624.0884		245981	245963	246004	0.357	0.336	624.0474	624.0884	245963	246004	624.0652	0.0052	-0.3558	1.000	9999.0000	0.0017	0.0123	5.8929	50874	0.356	0.355	0.0046	-5.13	46.5	0.0	0.0	0.000	0.000	0.0000	0.004	0.0000	0.0000	0	0.000	False	False	False
Si 1	6243.823	624.3823	-1.270	5.6160	45296.073	2.0	7.6010	61306.200	3.0	7.0	1.170	0.870	GA	8.13E+07	7.910	-3.500	-7.130	-7.130	-7.130	1.000	0.390	51.000	d	f	F	0	1	14.0	14.0	14.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	624.3824	624.3594	624.4024		246298	246275	246318	0.271	0.250	624.3594	624.4024	246275	246318	624.3820	0.0065	-0.2707	1.000	9999.0000	0.0025	0.0154	7.3725	40663	0.271	0.261	0.0044	-5.15	44.2	0.0	0.0	0.000	0.000	0.0000	0.010	0.0000	0.0000	0	0.000	False	False	False
Si 1	6244.476	624.4476	-1.320	5.6160	45296.073	2.0	7.6010	61306.200	3.0	7.0	1.170	1.140	GA	8.13E+07	7.910	-3.490	-7.130	-7.130	-7.130	1.000	0.450	63.030	d	f	F	0	1	14.0	14.0	14.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	624.4474	624.4264	624.4834		246363	246342	246399	0.263	0.243	624.4264	624.4834	246342	246399	624.4475	0.0065	-0.2620	1.000	9999.0000	0.0021	0.0154	7.4046	40488	0.262	0.260	0.0043	-5.16	43.0	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
Sc 2	6245.630	624.5630	-1.030	1.5070	12154.769	2.0	3.4920	28164.880	3.0	7.0	1.480	1.320	GA	2.40E+08	8.380	-6.590	-7.830	-7.830	-7.830	1.000	0.480	40.980	d	p	F	0	2	21.1	21.0	21.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	624.5624	624.5424	624.5824		246478	246458	246498	0.238	0.217	624.5424	624.5824	246458	246498	624.5622	0.0055	-0.2377	1.000	9999.0000	0.0023	0.0129	6.2022	48336	0.238	0.236	0.0033	-5.28	32.7	0.0	0.0	0.000	0.000	0.0000	0.003	0.0000	0.0000	0	0.000	False	False	False
Fe 2	6247.557	624.7557	-2.300	3.8918	31389.469	2.5	5.8760	47393.137	1.5	4.0	1.330	1.720	AO	3.16E+08	8.500	-6.530	186.272	-7.870	186.272	1.000	0.540	54.810	s	p	F	0	2	26.1	26.0	26.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	624.7564	624.7394	624.7764		246672	246655	246692	0.348	0.328	624.7394	624.7764	246655	246692	624.7564	0.0057	-0.3473	1.000	9999.0000	0.0021	0.0135	6.4769	46286	0.347	0.344	0.0050	-5.10	49.9	0.0	0.0	0.000	0.000	0.0000	0.008	0.0000	0.0000	0	0.000	False	False	False
Ti 1	6258.104	625.8104	-0.355	1.4430	11638.574	3.0	3.4240	27616.423	4.0	9.0	1.080	1.050	AO	1.78E+08	8.250	-5.990	355.237	-7.582	355.237	1.000	0.550	49.880	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	625.8105	625.7895	625.8335		247726	247705	247749	0.368	0.348	625.7895	625.8335	247705	247749	625.8109	0.0054	-0.3693	1.000	9999.0000	0.0017	0.0126	6.0593	49477	0.369	0.368	0.0050	-5.10	49.7	0.0	0.0	0.000	0.000	0.0000	0.005	0.0000	0.0000	0	0.000	False	False	False
Ti 1	6261.101	626.1101	-0.479	1.4290	11525.657	2.0	3.4090	27495.439	3.0	7.0	0.670	0.750	AO	1.82E+08	8.260	-5.980	353.236	-7.585	353.236	1.000	0.510	43.340	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	626.1105	626.0905	626.1435		248026	248006	248059	0.348	0.327	626.0905	626.1435	248006	248059	626.1105	0.0056	-0.3465	1.000	9999.0000	0.0016	0.0132	6.3122	47494	0.347	0.343	0.0049	-5.11	48.6	0.0	0.0	0.000	0.000	0.0000	0.010	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6265.134	626.5134	-2.550	2.1759	17549.808	3.0	4.1540	33504.270	3.0	7.0	1.670	1.490	AO	2.00E+08	8.300	-6.160	274.261	-7.700	274.261	1.000	0.690	85.950	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	626.5146	626.4786	626.5386		248430	248394	248454	0.545	0.524	626.4786	626.5386	248394	248454	626.5142	0.0060	-0.5453	1.000	9999.0000	0.0012	0.0141	6.7533	44392	0.545	0.539	0.0082	-4.88	81.9	0.0	0.0	0.000	0.000	0.0000	0.012	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6270.225	627.0225	-2.540	2.8580	23051.313	0.0	4.8350	38996.905	1.0	3.0	0.000	0.490	AO	1.58E+08	8.200	-5.880	350.249	-7.591	350.249	1.000	0.590	57.880	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	627.0236	627.0076	627.0466		248939	248923	248962	0.381	0.360	627.0076	627.0466	248923	248962	627.0232	0.0053	-0.3805	1.000	9999.0000	0.0017	0.0125	5.9860	50082	0.381	0.379	0.0051	-5.09	50.7	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6271.279	627.1279	-2.703	3.3320	26874.379	5.0	5.3090	42819.973	5.0	11.0	1.400	1.590	AO	1.66E+08	8.220	-5.410	720.247	-7.278	720.247	1.000	0.330	25.390	p	s	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	627.1286	627.1136	627.1446		249044	249029	249060	0.175	0.154	627.1136	627.1446	249029	249060	627.1284	0.0052	-0.1746	1.000	9999.0000	0.0031	0.0123	5.9033	50784	0.175	0.169	0.0023	-5.44	22.9	0.0	0.0	0.000	0.000	0.0000	0.008	0.0000	0.0000	0	0.000	False	False	False
Sc 2	6279.760	627.9760	-1.200	1.5000	12098.310	1.0	3.4740	28019.700	2.0	5.0	1.490	1.160	GA	2.40E+08	8.380	-6.590	-7.830	-7.830	-7.830	1.000	0.380	30.460	d	p	F	0	2	21.1	21.0	21.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	627.9757	627.9587	627.9817		249891	249874	249897	0.195	0.174	627.9587	627.9817	249874	249897	627.9758	0.0062	-0.1939	1.000	9999.0000	0.0042	0.0146	6.9690	43018	0.194	0.191	0.0030	-5.32	30.1	0.0	0.0	0.000	0.000	0.0000	0.006	0.0000	0.0000	0	0.000	False	False	False
Mg 1	6319.236	631.9236	-2.165	5.1080	41198.778	1.0	7.0690	57015.331	1.0	3.0	99.000	99.000	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.210	22.200	s	p	F	0	1	12.0	12.0	12.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T	631.9239	631.9029	631.9379		253839	253818	253853	0.155	0.134	631.9029	631.9379	253818	253853	631.9239	0.0063	-0.1537	1.000	9999.0000	0.0035	0.0148	7.0295	42648	0.154	0.151	0.0024	-5.42	24.2	0.0	0.0	0.000	0.000	0.0000	0.004	0.0000	0.0000	0	0.000	False	False	False
